node_id,vehicle_serial,gps_time,latitude,longitude,altitude,speed,heading
2060,PC4071M,2018-03-04T22:59:09.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:10.000Z,1.309817,103.77198,28,1,188.68
2026,PA9558D,2018-03-04T22:59:10.000Z,1.3151,103.69064,27,0,358.36
2031,PC3785T,2018-03-04T22:59:10.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:10.000Z,1.294683,103.77489,37,0,329.73
2054,PC3989Y,2018-03-04T22:59:10.000Z,1.2945,103.77513,48,0,290.1
2055,PC3995D,2018-03-04T22:59:10.000Z,1.29435,103.76955,10,0,21.16
2060,PC4071M,2018-03-04T22:59:10.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:11.000Z,1.309817,103.77198,28,1,188.68
2026,PA9558D,2018-03-04T22:59:11.000Z,1.3151,103.69064,27,0,358.36
2031,PC3785T,2018-03-04T22:59:11.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:11.000Z,1.294683,103.77489,37,0,329.73
2054,PC3989Y,2018-03-04T22:59:11.000Z,1.2945,103.77513,48,0,290.1
2055,PC3995D,2018-03-04T22:59:11.000Z,1.29435,103.76955,10,0,21.16
2060,PC4071M,2018-03-04T22:59:11.000Z,1.294133,103.7751,25,0,328.87
2025,PC3957P,2018-03-04T22:59:12.000Z,1.3098,103.77198,29,1,188.68
2026,PA9558D,2018-03-04T22:59:12.000Z,1.3151,103.69064,26,1,358.36
2031,PC3785T,2018-03-04T22:59:12.000Z,1.291883,103.78049,70,0,139.86
2043,PC4038K,2018-03-04T22:59:12.000Z,1.294683,103.77489,37,0,329.73
2054,PC3989Y,2018-03-04T22:59:12.000Z,1.2945,103.77513,48,0,290.1
2055,PC3995D,2018-03-04T22:59:12.000Z,1.29435,103.76955,10,0,21.16
