node.node_id,session_id,begin.sys_time,end.sys_time,begin.gps_info.gps_time,end.gps_info.gps_time,begin.gps_info.coords.lat,end.gps_info.coords.lat,begin.gps_info.coords.lon,end.gps_info.coords.lon,duration,mac_hash
2034,"2cf3044fc42240e9604179688df57d5856e03d78","2018-03-30T00:00:37.000Z","2018-03-30T00:10:38.000Z","2018-03-30T00:00:36.000Z","2018-03-30T00:10:37.000Z",1.3014333,1.2919834,103.7705,103.78045,13,"61b96337e6d9befce4fc6a0db00f3f48486034e3"
2034,"830b7e20242fe15befeebae916790235693e033d","2018-03-30T00:05:22.000Z","2018-03-30T00:42:02.000Z","2018-03-30T00:05:21.000Z","2018-03-30T00:42:01.000Z",1.2919333,1.2918833,103.7805,103.78049,1663,"17054eeb93fa67fbac5437a89f11c36144308431"
2034,"648be0432dedeecb7874b2103b4975df6bbc581b","2018-03-30T00:22:58.000Z","2018-03-30T00:33:00.000Z","2018-03-30T00:22:57.000Z","2018-03-30T00:32:59.000Z",1.2918667,1.2918667,103.78045,103.78053,6,"10584730a4484e3fe094b62f286fe629ac49f6e9"
2034,"f30c10261ccff317fbb17485660b39d919c546fd","2018-03-30T00:25:44.000Z","2018-03-30T01:09:39.000Z","2018-03-30T00:25:43.000Z","2018-03-30T01:09:37.000Z",1.2918833,1.2988666,103.78046,103.77428,2122,"887033e3264daf09a922b376364a473d52460150"
2034,"1eabee9071067a6084ed911742f0b80068cff2b6","2018-03-30T00:36:17.000Z","2018-03-30T00:46:18.000Z","2018-03-30T00:36:16.000Z","2018-03-30T00:46:17.000Z",1.2918667,1.2919,103.78053,103.7805,291,"3ecd4c171ceca7922653c5fe4bfc37a37c95b972"
2034,"bd01f706c0a291f93a0177a100d2f885ea577a2c","2018-03-30T00:55:04.000Z","2018-03-30T01:20:19.000Z","2018-03-30T00:55:03.000Z","2018-03-30T01:20:18.000Z",1.2919166,1.2919,103.78052,103.78046,921,"0e77c18668c5680b7ec393ff578219616c40e19e"
2034,"208cae835bd0b75d23b79ba3035e6930aef6af03","2018-03-30T01:00:09.000Z","2018-03-30T01:10:10.000Z","2018-03-30T01:00:08.000Z","2018-03-30T01:10:09.000Z",1.2918,1.29835,103.7804,103.77383,288,"de5ba1a112b4ee8d143ff4200aa934995b95b41f"
2034,"58d2e7b171b56db01143e86dd076bfcfca22de92","2018-03-30T01:00:18.000Z","2018-03-30T01:19:11.000Z","2018-03-30T01:00:17.000Z","2018-03-30T01:19:10.000Z",1.2917833,1.2930666,103.7804,103.77798,591,"d41ac415f32f18c88515d37d33c60abb34aa8fc2"
2034,"04c37127f240566f625976c9469711ae81e8b0a6","2018-03-30T01:01:14.000Z","2018-03-30T01:11:18.000Z","2018-03-30T01:01:13.000Z","2018-03-30T01:11:17.000Z",1.2911166,1.2964333,103.78082,103.7722,204,"a14143b34694db872c8aa30b56a81d83ede0e63e"
2034,"b931dc44172ad10ce8d01dc9033ad054d7c5c5c7","2018-03-30T01:01:17.000Z","2018-03-30T01:21:21.000Z","2018-03-30T01:01:16.000Z","2018-03-30T01:21:20.000Z",1.2910833,1.2918667,103.78104,103.78055,621,"5db5b895683634897a5800461eee00cd093b49ba"
